time_ms,soma_mv,path100_mv,path200_mv,path300_mv,path400_mv,contact_mv
16.66,-83.5395246247,-84.9008213125,-85.1032733228,-85.1022707071,-85.1043153311,-85.1148851206
16.665,-83.5418980049,-84.9011177257,-85.1032944908,-85.102286924,-85.104336374,-85.1149104923
16.67,-83.5442694459,-84.9014139213,-85.1033156447,-85.1023031271,-85.1043573951,-85.1149358357
16.675,-83.5466389491,-84.9017098995,-85.1033367847,-85.1023193164,-85.1043783944,-85.1149611511
16.68,-83.5490065162,-84.9020056604,-85.1033579107,-85.1023354919,-85.1043993721,-85.1149864383
16.685,-83.5513721488,-84.9023012041,-85.1033790228,-85.1023516537,-85.1044203281,-85.1150116975
16.69,-83.5537358485,-84.9025965309,-85.1034001209,-85.1023678017,-85.1044412625,-85.1150369288
16.695,-83.5560976167,-84.9028916408,-85.1034212052,-85.102383936,-85.1044621753,-85.1150621321
16.7,-83.5584574553,-84.9031865341,-85.1034422755,-85.1024000566,-85.1044830666,-85.1150873075
16.705,-83.5608153656,-84.9034812108,-85.1034633319,-85.1024161635,-85.1045039365,-85.1151124552
16.71,-83.5631713494,-84.9037756712,-85.1034843745,-85.1024322568,-85.1045247848,-85.1151375751
16.715,-83.5655254082,-84.9040699154,-85.1035054031,-85.1024483364,-85.1045456118,-85.1151626673
16.72,-83.5678775436,-84.9043639436,-85.103526418,-85.1024644025,-85.1045664174,-85.1151877319
16.725,-83.5702277572,-84.9046577558,-85.103547419,-85.1024804549,-85.1045872017,-85.1152127689
16.73,-83.5725760506,-84.9049513524,-85.1035684062,-85.1024964938,-85.1046079647,-85.1152377783
16.735,-83.5749224253,-84.9052447333,-85.1035893796,-85.1025125191,-85.1046287064,-85.1152627603
16.74,-83.5772668829,-84.9055378988,-85.1036103392,-85.102528531,-85.104649427,-85.1152877149
16.745,-83.5796094251,-84.905830849,-85.103631285,-85.1025445293,-85.1046701264,-85.115312642
16.75,-83.5819500533,-84.9061235841,-85.1036522171,-85.1025605141,-85.1046908046,-85.1153375419
16.755,-83.5842887692,-84.9064161043,-85.1036731354,-85.1025764855,-85.1047114618,-85.1153624145
16.76,-83.5866255744,-84.9067084096,-85.10369404,-85.1025924434,-85.1047320979,-85.1153872599
16.765,-83.5889604703,-84.9070005003,-85.1037149309,-85.1026083879,-85.1047527131,-85.1154120781
16.77,-83.5912934587,-84.9072923765,-85.103735808,-85.1026243191,-85.1047733072,-85.1154368692
16.775,-83.5936245411,-84.9075840383,-85.1037566715,-85.1026402368,-85.1047938805,-85.1154616333
16.78,-83.5959537189,-84.907875486,-85.1037775213,-85.1026561412,-85.1048144328,-85.1154863704
16.785,-83.5982809939,-84.9081667196,-85.1037983574,-85.1026720323,-85.1048349643,-85.1155110805
16.79,-83.6006063676,-84.9084577393,-85.1038191799,-85.1026879101,-85.104855475,-85.1155357637
